Word,Frequency,Abc Hash,Qwerty Hash,As name
академиков,3,1312243341,4146278154,0,0.0
академиком,4,1312243344,4146278157,0,0.0
академику,3,131224335,414627811,0,0.0
академическая,3,1312243625318,4146278727147,0,0.0
академические,3,1312243625332,4146278727182,0,0.0
академических,4,1312243625336,4146278727183,0,0.0
академического,2,13122436253414,41462787271525,0,0.0
академической,4,1312243625343,4146278727151,0,0.0
академию,4,13122438,41462788,2,0.5
академия,2,13122438,41462787,0,0.0
акбар,3,13115,41845,0,0.0
аквариуме,2,131153542,414458172,0,0.0
акка,3,1331,4114,0,0.0
акклиматизации,2,13333415321633,41168748834188,0,0.0
аккомпаньяторша,2,133444148854571,411575428785534,0,0.0
аккорд,8,133452,411556,0,0.0
аккорда,6,1334521,4115564,0,0.0
аккордов,2,13345241,41155654,0,0.0
аккорды,13,1334527,4115564,0,0.0
аккумулятор,3,13354538545,41117167855,0,0.0
аккумуляторы,2,133545385457,411171678554,0,0.0
аккурат,4,1335515,4111548,0,0.0
аккуратная,2,1335515418,4111548247,1,0.5
аккуратнее,2,1335515422,4111548222,0,0.0
аккуратно,52,133551544,411154825,1,0.019230769230769232
аккуратности,4,133551544553,411154825788,0,0.0
аккуратность,4,133551544558,411154825788,0,0.0
аккуратностью,4,1335515445588,4111548257888,0,0.0
аккуратную,2,1335515458,4111548218,0,0.0
аккуратные,3,1335515472,4111548242,0,0.0
аккуратный,6,1335515473,4111548241,0,0.0
аккуратным,2,1335515474,4111548247,0,0.0
аккуратных,2,1335515476,4111548243,0,0.0
акрилаты,3,13533157,41586484,0,0.0
акриловые,3,135334172,415865442,0,0.0
акриловых,4,135334176,415865443,0,0.0
акромя,2,135448,415577,0,0.0
аксакал,3,1351313,4174146,0,0.0
аксакалов,3,135131341,417414654,0,0.0
аксакалы,3,13513137,41741464,0,0.0
аксессуаров,2,13525551541,41727714554,0,0.0
аксиомой,2,13534443,41785751,0,0.0
акт,25,135,418,2,0.08
акта,17,1351,4184,0,0.0
акте,5,1352,4182,0,0.0
актер,4,13525,41825,0,0.0
актера,6,135251,418254,0,0.0
актеров,3,1352541,4182554,0,0.0
актерским,2,135255334,418257187,0,0.0
актеру,2,135255,418251,0,0.0
актеры,2,135257,418254,0,0.0
актив,2,13531,41884,0,0.0
активация,2,135311638,418844187,0,0.0
активе,2,135312,418842,0,0.0
активистка,3,1353135531,4188487814,0,0.0
активная,7,13531418,41884247,0,0.0
активно,27,1353144,4188425,0,0.0
активного,6,135314414,418842525,0,0.0
активное,3,13531442,41884252,0,0.0
активной,9,13531443,41884251,0,0.0
активности,30,1353144553,4188425788,0,0.0
активность,17,1353144558,4188425788,0,0.0
активностью,11,13531445588,41884257888,0,0.0
активную,2,13531458,41884218,0,0.0
активные,6,13531472,41884242,0,0.0
активный,4,13531473,41884241,1,0.25
активным,5,13531474,41884247,0,0.0
активными,2,135314743,418842478,0,0.0
активных,8,13531476,41884243,0,0.0
актов,3,13541,41854,0,0.0
актом,5,13544,41857,0,0.0
актрис,3,135535,418587,0,0.0
актриса,4,1355351,4185874,0,0.0
актрисе,2,1355352,4185872,0,0.0
актрису,3,1355355,4185871,0,0.0
актрисы,4,1355357,4185874,0,0.0
актуальна,4,135513841,418146824,0,0.0
актуальной,4,1355138443,4181468251,0,0.0
актуальности,2,135513844553,418146825788,0,0.0
актуальность,4,135513844558,418146825788,0,0.0
актуальные,6,1355138472,4181468242,0,0.0
актуальным,4,1355138474,4181468247,0,0.0
акты,3,1357,4184,0,0.0
акулы,4,13537,41164,0,0.0
акушерка,2,13572531,41132514,0,0.0
акушером,3,13572544,41132557,0,0.0
акцент,3,136245,411228,0,0.0
акцента,3,1362451,4112284,0,0.0
акцентируем,3,13624535524,41122885127,0,0.0
акцентом,10,13624544,41122857,0,0.0
акценту,3,1362455,4112281,0,0.0
акции,3,13633,41188,0,0.0
акций,7,13633,41181,0,0.0
акционерного,3,136344254414,411852252525,0,0.0
акционерной,2,13634425443,41185225251,0,0.0
ал,9,13,46,8,0.8888888888888888
ала,2,131,464,0,0.0
алайонэл,6,13134483,46415266,5,0.8333333333333334
алайонэла,8,131344831,464152664,8,1.0
аламос,3,131445,464757,0,0.0
аламосе,2,1314452,4647572,0,0.0
аланами,2,1314143,4642478,0,0.0
аланы,2,13147,46424,0,0.0
алая,2,1318,4647,2,1.0
алгамброй,3,131141543,462478551,3,1.0
алгебру,3,1312155,4622851,0,0.0
алгебры,4,1312157,4622854,0,0.0
алгоритм,3,13145354,46255887,1,0.3333333333333333
алгоритмам,2,1314535414,4625588747,0,0.0
алгоритмов,6,1314535441,4625588754,0,0.0
алгоритмы,4,131453547,462558874,0,0.0
але,4,132,462,2,0.5
алейкум,6,1323354,4621117,0,0.0
александр,116,132351425,462174265,77,0.6637931034482759
александра,104,1323514251,4621742654,86,0.8269230769230769
александре,11,1323514252,4621742652,8,0.7272727272727273
александров,3,13235142541,46217426554,3,1.0
александрович,9,1323514254136,4621742655487,8,0.8888888888888888
александровича,5,13235142541361,46217426554874,5,1.0
александровичу,2,13235142541365,46217426554871,2,1.0
александром,7,13235142544,46217426557,7,1.0
александру,27,1323514255,4621742651,25,0.9259259259259259
александры,5,1323514257,4621742654,5,1.0
александрыч,3,13235142576,46217426547,3,1.0
алексеев,2,13235221,46217224,1,0.5
алексеева,2,132352211,462172244,2,1.0
алексеевич,12,1323522136,4621722487,7,0.5833333333333334
алексеевича,13,13235221361,46217224874,11,0.8461538461538461
алексеевичем,4,132352213624,462172248727,4,1.0
алексеевичу,2,13235221365,46217224871,1,0.5
алексеевна,11,1323522141,4621722424,11,1.0
алексеич,7,13235236,46217287,6,0.8571428571428571
алексеича,5,132352361,462172874,4,0.8
алексей,28,1323523,4621721,20,0.7142857142857143
алексею,4,1323528,4621728,3,0.75
алексея,23,1323528,4621727,23,1.0
алеша,2,13271,46234,1,0.5
али,21,133,468,12,0.5714285714285714
алиевич,2,1332136,4682487,2,1.0
алик,79,1333,4681,64,0.810126582278481
алика,7,13331,46814,7,1.0
алику,9,13335,46811,9,1.0
алим,3,1334,4687,2,0.6666666666666666
алима,2,13341,46874,0,0.0
алимагамэд,2,1334111482,4687424766,2,1.0
алимагомед,5,1334114422,4687425726,3,0.6
алина,2,13341,46824,1,0.5
алиса,2,13351,46874,2,1.0
алисы,2,13357,46874,2,1.0
алиханьян,3,133614884,468342872,0,0.0
алкидов,2,1333241,4618654,1,0.5
алкоголь,3,13341438,46152568,0,0.0
алкоголя,2,13341438,46152567,0,0.0
алла,9,1331,4664,3,0.3333333333333333
аллан,2,13314,46642,2,1.0
аллах,15,13316,46643,10,0.6666666666666666
аллаха,4,133161,466434,3,0.75
аллахом,3,1331644,4664357,3,1.0
аллаху,3,133165,466431,3,1.0
аллегории,4,133214533,466225588,0,0.0
аллегорий,2,133214533,466225581,0,0.0
аллегория,6,133214538,466225587,0,0.0
аллегри,3,1332153,4662258,0,0.0
аллее,12,13322,46622,0,0.0
аллеи,8,13323,46628,0,0.0
аллею,7,13328,46628,0,0.0
аллея,2,13328,46627,0,0.0
аллеям,4,133284,466277,0,0.0
аллин,12,13334,46682,12,1.0
аллина,3,133341,466824,3,1.0
аллы,3,1337,4664,3,1.0
аллюзии,2,1338233,4668388,0,0.0
алма,2,1341,4674,1,0.5
алмаз,2,13412,46743,0,0.0
алмазно,2,1341244,4674325,0,0.0
алмазной,3,13412443,46743251,0,0.0
алмазный,2,13412473,46743241,0,0.0
алмазов,2,1341241,4674354,0,0.0
алмазоподобных,2,13412444241476,46743555658243,0,0.0
алмазы,3,134127,467434,0,0.0
алогизм,2,1341324,4652837,0,0.0
алой,2,1343,4651,0,0.0
алпатыч,105,1341576,4654847,55,0.5238095238095238
алпатыча,30,13415761,46548474,23,0.7666666666666667
алпатычем,7,134157624,465484727,6,0.8571428571428571
алпатычу,12,13415765,46548471,9,0.75
алтаре,3,135152,468452,0,0.0
алтарь,5,135158,468458,0,0.0
алтаря,3,135158,468457,0,0.0
алтая,2,13518,46847,2,1.0
алфавит,2,1361135,4644488,0,0.0
алфавита,2,13611351,46444884,0,0.0
алхимии,2,1363433,4638788,0,0.0
алхимики,2,13634333,46387818,0,0.0
алые,5,1372,4642,0,0.0
алый,6,1373,4641,0,0.0
алых,3,1376,4643,0,0.0
аль,16,138,468,9,0.5625
альбедо,5,1381224,4688265,0,0.0
альберт,5,1381255,4688258,3,0.6
альбом,10,138144,468857,0,0.0
альбомы,5,1381447,4688574,0,0.0
альзасец,2,13821526,46834721,0,0.0
альма,2,13841,46874,0,0.0
альманах,9,13841416,46874243,2,0.2222222222222222
альманаха,5,138414161,468742434,0,0.0
альманахи,2,138414163,468742438,0,0.0
альпиниста,2,1384343551,4685828784,0,0.0
альтернатива,7,138525415311,468825248844,1,0.14285714285714285
альтернативная,5,13852541531418,46882524884247,0,0.0
альтернативно,2,1385254153144,4688252488425,0,0.0
альтернативного,3,138525415314414,468825248842525,0,0.0
альтернативной,4,13852541531443,46882524884251,0,0.0
альтернативные,6,13852541531472,46882524884242,0,0.0
альтернативный,4,13852541531473,46882524884241,0,0.0
альтернативных,7,13852541531476,46882524884243,0,0.0
альтернативой,2,1385254153143,4688252488451,0,0.0
альтернативы,6,138525415317,468825248844,0,0.0
альтов,22,138541,468854,12,0.5454545454545454
альтова,5,1385411,4688544,3,0.6
альтруизм,2,138555324,468851837,0,0.0
альфа,8,13861,46844,3,0.375
альфонс,2,1386445,4684527,0,0.0
альфред,2,1386522,4684526,1,0.5
альянс,2,138845,468727,0,0.0
алюминиевой,2,13843432143,46878282451,0,0.0
алюминиевый,2,13843432173,46878282441,0,0.0
алюминия,2,13843438,46878287,0,0.0
ам,4,14,47,0,0.0
амазонка,2,14124431,47435214,0,0.0
амазонки,5,14124433,47435218,0,0.0
амазонок,5,14124443,47435251,0,0.0
амалика,2,1413331,4746814,2,1.0
амальтею,3,14138528,47468828,3,1.0
амальтея,2,14138528,47468827,0,0.0
аманнула,2,14144531,47422164,2,1.0
аматуни,5,1415543,4748128,2,0.4
амбар,2,14115,47845,0,0.0
амбара,7,141151,478454,0,0.0
амбаре,2,141152,478452,0,0.0
амбару,5,141155,478451,0,0.0
амбулатории,2,14153154533,47816485588,0,0.0
америка,5,1425331,4725814,5,1.0
американец,5,1425331426,4725814221,0,0.0
американо,2,142533144,472581425,1,0.5
американская,9,142533145318,472581427147,1,0.1111111111111111
американские,14,142533145332,472581427182,0,0.0
американский,22,142533145333,472581427181,1,0.045454545454545456
американским,6,142533145334,472581427187,0,0.0
американских,22,142533145336,472581427183,1,0.045454545454545456
американского,22,1425331453414,4725814271525,0,0.0
американское,3,142533145342,472581427152,0,0.0
американской,30,142533145343,472581427151,0,0.0
американском,3,142533145344,472581427157,0,0.0
американскому,2,1425331453445,4725814271571,0,0.0
американскую,3,142533145358,472581427118,0,0.0
американца,11,1425331461,4725814214,0,0.0
американцев,5,14253314621,47258142124,0,0.0
американцы,9,1425331467,4725814214,1,0.1111111111111111
америке,16,1425332,4725812,16,1.0
америки,15,1425333,4725818,15,1.0
америкой,5,14253343,47258151,5,1.0
америку,3,1425335,4725811,2,0.6666666666666666
ами,3,143,478,0,0.0
аминов,3,143441,478254,0,0.0
аминокислот,5,14344335345,47825187658,0,0.0
аминокислотных,2,14344335345476,47825187658243,0,0.0
аминокислоты,6,143443353457,478251876584,0,0.0
аминь,3,14348,47828,1,0.3333333333333333
амман,2,14414,47742,2,1.0
амн,2,144,472,0,0.0
амнуэля,2,1445838,4721667,1,0.5
амосов,16,144541,475754,5,0.3125
амосова,5,1445411,4757544,5,1.0
амосом,2,144544,475757,2,1.0
амплуа,2,144351,475614,0,0.0
ампутацию,2,144551638,475184188,0,0.0
амуниции,2,14543633,47128188,0,0.0
амуницию,3,14543638,47128188,0,0.0
амуниция,2,14543638,47128187,0,0.0
амфибии,2,1463133,4748888,0,0.0
амфибию,5,1463138,4748888,0,0.0
амфибия,8,1463138,4748887,0,0.0
ан,49,14,42,2,0.04081632653061224
анабиоза,3,14113421,42488534,0,0.0
анабиозе,2,14113422,42488532,0,0.0
анализ,39,141332,424683,4,0.10256410256410256
анализа,49,1413321,4246834,0,0.0
анализаторы,2,14133215457,42468348554,0,0.0
анализе,11,1413322,4246832,0,0.0
анализировал,3,141332354113,424683855446,0,0.0
анализировать,7,1413323541158,4246838554488,0,0.0
анализирует,3,14133235525,42468385128,0,0.0
анализов,2,14133241,42468354,0,0.0
анализом,3,14133244,42468357,0,0.0
анализу,12,1413325,4246831,0,0.0
аналитики,2,141335333,424688818,0,0.0
аналитиков,2,1413353341,4246888154,0,0.0
аналитический,2,1413353625333,4246888727181,0,0.0
аналог,2,141341,424652,0,0.0
