Word,Frequency,Abc Hash,Qwerty Hash,As name
librarian,10,431616315,638242348,0,0.0
libraries,11,431616326,638242314,1,0.09090909090909091
library,366,4316168,6382422,5,0.01366120218579235
libs,3,4316,6384,2,0.6666666666666666
lice,9,4312,6371,0,0.0
licence,9,4312512,6371871,0,0.0
licences,3,43125126,63718714,0,0.0
license,55,4312562,6371841,0,0.0
licensed,14,43125622,63718414,2,0.14285714285714285
licensing,3,431256353,637184385,0,0.0
lichen,15,431325,637518,0,0.0
lichens,2,4313256,6375184,0,0.0
lick,35,4314,6376,2,0.05714285714285714
licked,81,431422,637614,0,0.0
lickers,2,4314266,6376124,0,0.0
licking,34,4314353,6376385,0,0.0
licorice,12,43156312,63732371,4,0.3333333333333333
lid,126,432,634,0,0.0
lidded,31,432222,634414,0,0.0
lidding,2,4322353,6344385,0,0.0
liddy,2,43228,63442,2,1.0
lids,44,4326,6344,0,0.0
lie,576,432,631,2,0.003472222222222222
lieber,2,432126,631812,2,1.0
liechtenstein,12,4321372567235,6317521842138,12,1.0
lied,191,4322,6314,0,0.0
liege,39,43232,63151,0,0.0
liegeman,6,43232515,63151848,1,0.16666666666666666
liegewoman,3,4323285515,6315113848,0,0.0
liens,2,43256,63184,0,0.0
lies,299,4326,6314,6,0.020066889632107024
lieu,9,4327,6312,0,0.0
lieutenancy,3,43277251518,63122184872,0,0.0
lieutenant,647,4327725157,6312218482,332,0.5131375579598145
lieutenants,10,43277251576,63122184824,0,0.0
life,2734,4322,6351,50,0.018288222384784197
lifeboat,10,43221517,63518342,2,0.2
lifeguards,2,4322371626,6351524244,1,0.5
lifeless,16,43224266,63516144,0,0.0
lifelike,5,43224342,63516361,0,0.0
lifeline,4,43224352,63516381,0,0.0
lifelong,14,43224553,63516385,0,0.0
lifestyle,18,432267842,635142261,0,0.0
lifetime,121,43227352,63512381,1,0.008264462809917356
lifetimes,6,432273526,635123814,0,0.0
lift,529,4327,6352,3,0.005671077504725898
lifted,440,432722,635214,0,0.0
lifting,83,4327353,6352385,0,0.0
lifts,27,43276,63524,0,0.0
liga,36,4331,6354,30,0.8333333333333334
ligaments,2,433152576,635481824,0,0.0
ligature,9,43317762,63542221,0,0.0
light,2638,43337,63552,10,0.0037907505686125853
lighted,33,4333722,6355214,0,0.0
lighten,23,4333725,6355218,0,0.0
lightened,35,433372522,635521814,0,0.0
lightening,13,4333725353,6355218385,0,0.0
lighter,92,4333726,6355212,1,0.010869565217391304
lightest,9,43337267,63552142,0,0.0
lightflyer,134,4333724826,6355256212,0,0.0
lightflyers,6,43337248266,63552562124,0,0.0
lightheaded,6,43337321222,63552514414,0,0.0
lighthearted,3,433373216722,635525142214,0,0.0
lightheartedness,2,4333732167225266,6355251422148144,0,0.0
lighting,118,43337353,63552385,1,0.00847457627118644
lightless,3,433374266,635526144,0,0.0
lightly,161,4333748,6355262,0,0.0
lightner,2,43337526,63552812,1,0.5
lightness,10,433375266,635528144,2,0.2
lightning,114,433375353,635528385,5,0.043859649122807015
lights,503,433376,635524,10,0.019880715705765408
lightsaber,2,4333761126,6355244812,0,0.0
lightshigher,2,433376333326,635524535512,0,0.0
lightspeed,3,4333766222,6355243114,0,0.0
lightweight,6,43337823337,63552113552,0,0.0
like,14562,4342,6361,165,0.011330861145447055
likeable,2,43421142,63614861,0,0.0
liked,574,43422,63614,1,0.0017421602787456446
likeliest,2,434243267,636163142,0,0.0
likelihood,15,4342433552,6361635334,0,0.0
likely,753,434248,636162,0,0.0
likelyto,2,43424875,63616223,0,0.0
likeme,2,434252,636181,0,0.0
likeness,6,43425266,63618144,0,0.0
likenesses,4,4342526626,6361814414,0,0.0
likereally,2,4342621448,6361214662,0,0.0
likes,224,43426,63614,0,0.0
likethat,11,43427317,63612542,0,0.0
likethe,2,4342732,6361251,0,0.0
likethis,7,43427336,63612534,0,0.0
likewise,42,43428362,63611341,1,0.023809523809523808
likeyou,2,4342857,6361232,0,0.0
likeyour,3,43428576,63612322,0,0.0
liking,56,434353,636385,0,0.0
lilac,20,43411,63647,0,0.0
lilies,22,434326,636314,0,0.0
lillie,4,434432,636631,4,1.0
lilly,153,43448,63662,104,0.6797385620915033
lilt,4,4347,6362,0,0.0
lilted,2,434722,636214,0,0.0
lilting,2,4347353,6362385,0,0.0
lily,368,4348,6362,261,0.7092391304347826
lima,2,4351,6384,1,0.5
limb,33,4351,6388,0,0.0
limbed,6,435122,638814,0,0.0
limbo,20,43515,63883,0,0.0
limbs,83,43516,63884,0,0.0
lime,48,4352,6381,1,0.020833333333333332
limelight,3,435243337,638163552,0,0.0
limerick,10,43526314,63812376,0,0.0
limericks,6,435263146,638123764,0,0.0
limes,5,43526,63814,0,0.0
limestone,7,435267552,638142381,0,0.0
limit,104,43537,63832,0,0.0
limitation,4,4353717355,6383242338,0,0.0
limitations,15,43537173556,63832423384,1,0.06666666666666667
limited,141,4353722,6383214,15,0.10638297872340426
limiting,13,43537353,63832385,0,0.0
limitless,8,435374266,638326144,0,0.0
limits,94,435376,638324,0,0.0
limoges,2,4355326,6383514,2,1.0
limp,140,4356,6383,0,0.0
limped,100,435622,638314,0,0.0
limpet,2,435627,638312,0,0.0
limpid,4,435632,638334,0,0.0
limping,77,4356353,6383385,0,0.0
limply,31,435648,638362,0,0.0
limpness,2,43565266,63838144,0,0.0
limps,4,43566,63834,2,0.5
lincoln,11,4351545,6387368,8,0.7272727272727273
linda,5,43521,63844,5,1.0
linden,138,435225,638418,87,0.6304347826086957
lindgren,2,43523625,63845218,2,1.0
lindsey,2,4352628,6384412,2,1.0
line,1139,4352,6381,14,0.012291483757682178
linear,4,435216,638142,0,0.0
lined,281,43522,63814,0,0.0
linen,109,43525,63818,1,0.009174311926605505
linens,14,435256,638184,0,0.0
liner,11,43526,63812,0,0.0
liners,3,435266,638124,0,0.0
lines,457,43526,63814,2,0.00437636761487965
lineup,6,435276,638123,0,0.0
ling,72,4353,6385,45,0.625
linger,59,435326,638512,0,0.0
lingered,116,43532622,63851214,0,0.0
lingerers,2,435326266,638512124,0,0.0
lingerie,7,43532632,63851231,0,0.0
lingerin,2,43532635,63851238,0,0.0
lingering,115,435326353,638512385,0,0.0
lingers,6,4353266,6385124,0,0.0
lingo,3,43535,63853,0,0.0
lingua,2,435371,638524,1,0.5
linguist,6,43537367,63852342,0,0.0
linguistics,3,43537367316,63852342374,1,0.3333333333333333
lining,76,435353,638385,0,0.0
linings,4,4353536,6383854,0,0.0
link,237,4354,6386,0,0.0
linked,48,435422,638614,0,0.0
linker,4,435426,638612,0,0.0
linkers,2,4354266,6386124,0,0.0
linking,8,4354353,6386385,0,0.0
links,61,43546,63864,0,0.0
linn,3,4355,6388,3,1.0
linoleum,9,43554275,63836128,0,0.0
lint,5,4357,6382,0,0.0
lintel,15,435724,638216,0,0.0
linteled,2,43572422,63821614,0,0.0
lion,111,4355,6338,11,0.0990990990990991
lioness,2,4355266,6338144,0,0.0
lionfish,3,43552363,63385345,0,0.0
lionheart,2,435532167,633851422,2,1.0
lionlike,2,43554342,63386361,0,0.0
lions,12,43556,63384,1,0.08333333333333333
lip,409,436,633,2,0.004889975550122249
lipid,2,43632,63334,0,0.0
lipless,5,4364266,6336144,0,0.0
lipman,2,436515,633848,2,1.0
lipped,48,436622,633314,0,0.0
lips,1778,4366,6334,2,0.0011248593925759281
lipson,6,436655,633438,4,0.6666666666666666
lipstick,25,43667314,63342376,0,0.0
lipsticked,2,4366731422,6334237614,0,0.0
liquefaction,2,436722117355,631215472338,0,0.0
liqueur,2,4367276,6312122,0,0.0
liquid,200,436732,631234,0,0.0
liquidity,3,436732378,631234322,0,0.0
liquids,14,4367326,6312344,0,0.0
liquor,9,436756,631232,0,0.0
lis,4,436,634,0,0.0
lisa,61,4361,6344,51,0.8360655737704918
lisbet,20,436127,634812,17,0.85
lisbon,2,436155,634838,2,1.0
lise,4,4362,6341,3,0.75
lisettes,2,43627726,63412214,0,0.0
lisp,4,4366,6343,0,0.0
liss,385,4366,6344,261,0.6779220779220779
list,496,4367,6342,6,0.012096774193548387
listed,47,436722,634214,0,0.0
listen,956,436725,634218,107,0.11192468619246862
listened,305,43672522,63421814,2,0.006557377049180328
listener,7,43672526,63421812,0,0.0
listeners,32,436725266,634218124,0,0.0
listenin,5,43672535,63421838,0,0.0
listening,564,436725353,634218385,0,0.0
listens,6,4367256,6342184,0,0.0
listing,18,4367353,6342385,0,0.0
listings,4,43673536,63423854,0,0.0
listless,9,43674266,63426144,0,0.0
listlessly,7,4367426648,6342614462,0,0.0
lists,38,43676,63424,0,0.0
lit,538,437,632,2,0.0037174721189591076
litany,14,437158,632482,0,0.0
liter,18,43726,63212,0,0.0
literacy,2,43726118,63212472,0,0.0
literal,17,4372614,6321246,0,0.0
literally,98,437261448,632124662,1,0.01020408163265306
literary,48,43726168,63212422,5,0.10416666666666667
literature,37,4372617762,6321242221,3,0.08108108108108109
liters,12,437266,632124,0,0.0
lithe,21,43732,63251,0,0.0
litigation,2,4373317355,6323542338,0,0.0
litigious,4,437333576,632353324,0,0.0
litmus,2,437576,632824,0,0.0
litter,74,437726,632212,0,0.0
littered,51,43772622,63221214,0,0.0
littering,10,437726353,632212385,0,0.0
litters,4,4377266,6322124,0,0.0
little,7783,437742,632261,144,0.018501863034819477
littleness,2,4377425266,6322618144,0,0.0
littler,4,4377426,6322612,0,0.0
littlest,4,43774267,63226142,0,0.0
live,1002,4372,6381,4,0.003992015968063872
lived,494,43722,63814,13,0.02631578947368421
livehere,3,43723262,63815121,0,0.0
livelier,3,43724326,63816312,0,0.0
livelihood,7,4372433552,6381635334,0,0.0
lively,37,437248,638162,0,0.0
liven,5,43725,63818,0,0.0
livened,3,4372522,6381814,0,0.0
liver,36,43726,63812,1,0.027777777777777776
livered,2,4372622,6381214,0,0.0
liveried,62,43726322,63812314,1,0.016129032258064516
liveries,8,43726326,63812314,0,0.0
liverpool,19,437266554,638123336,19,1.0
livers,2,437266,638124,0,0.0
livery,54,437268,638122,0,0.0
lives,547,43726,63814,45,0.08226691042047532
livestock,6,437267514,638142376,0,0.0
livia,10,43731,63834,7,0.7
liviana,7,4373151,6383484,6,0.8571428571428571
livid,75,43732,63834,0,0.0
lividly,2,4373248,6383462,0,0.0
livin,6,43735,63838,0,0.0
living,718,437353,638385,12,0.016713091922005572
livings,3,4373536,6383854,0,0.0
liz,43,438,637,34,0.7906976744186046
liza,3,4381,6374,3,1.0
lizard,36,438162,637424,0,0.0
lizards,13,4381626,6374244,0,0.0
lizzie,13,438832,637731,13,1.0
lizzy,4,43888,63772,4,1.0
ll,10082,44,66,0,0.0
llama,2,44151,66484,2,1.0
llc,2,441,667,0,0.0
llewellyn,4,442824485,661116628,4,1.0
llforce,2,4425612,6653271,0,0.0
llhave,2,443172,665481,0,0.0
llknow,2,444558,666831,0,0.0
lloyd,3,44582,66324,3,1.0
lltell,2,447244,662166,0,0.0
lly,2,448,662,0,0.0
lmagine,2,4513352,6845381,0,0.0
lmmigration,2,45533617355,68835242338,0,0.0
ln,5,45,68,0,0.0
lndia,2,45231,68434,0,0.0
lndian,4,452315,684348,0,0.0
lndians,2,4523156,6843484,0,0.0
lnnsbruck,2,455616714,688482276,0,0.0
lnspiration,2,45663617355,68433242338,0,0.0
lnternet,2,45726527,68212812,0,0.0
lo,12,45,63,1,0.08333333333333333
load,191,4512,6344,0,0.0
loaded,126,451222,634414,0,0.0
loader,4,451226,634412,0,0.0
loaders,8,4512266,6344124,0,0.0
loading,112,4512353,6344385,0,0.0
loads,152,45126,63444,0,0.0
loaf,27,4512,6345,0,0.0
loafer,6,451226,634512,0,0.0
loafing,2,4512353,6345385,0,0.0
loan,50,4515,6348,0,0.0
loaned,9,451522,634814,0,0.0
loaner,2,451526,634812,0,0.0
loaning,2,4515353,6348385,0,0.0
loans,3,45156,63484,0,0.0
loath,11,45173,63425,0,0.0
loathe,13,451732,634251,0,0.0
loathed,44,4517322,6342514,0,0.0
loathes,5,4517326,6342514,0,0.0
loathing,48,45173353,63425385,0,0.0
loathsome,10,451736552,634254381,0,0.0
lob,3,451,638,0,0.0
lobachik,4,45111334,63847536,4,1.0
lobalug,4,4511473,6384625,3,0.75
lobbed,6,451122,638814,0,0.0
lobbing,3,4511353,6388385,0,0.0
lobby,82,45118,63882,0,0.0
lobbying,2,45118353,63882385,0,0.0
lobe,5,4512,6381,0,0.0
lobes,4,45126,63814,0,0.0
lobotomized,2,45157553822,63832383714,0,0.0
lobster,24,4516726,6384212,0,0.0
lobsters,5,45167266,63842124,0,0.0
local,434,45114,63746,1,0.002304147465437788
locale,5,451142,637461,0,0.0
locality,2,45114378,63746322,0,0.0
locally,12,4511448,6374662,0,0.0
locals,36,451146,637464,0,0.0
locate,36,451172,637421,0,0.0
located,49,4511722,6374214,0,0.0
locating,12,45117353,63742385,0,0.0
location,64,45117355,63742338,0,0.0
locations,20,451173556,637423384,0,0.0
locator,4,4511756,6374232,0,0.0
loch,4,4513,6375,3,0.75
lock,472,4514,6376,1,0.00211864406779661
lockable,5,45141142,63764861,0,0.0
lockdown,2,45142585,63764318,0,0.0
locked,544,451422,637614,0,0.0
locker,61,451426,637612,5,0.08196721311475409
lockers,10,4514266,6376124,0,0.0
locket,151,451427,637612,2,0.013245033112582781
lockets,4,4514276,6376124,0,0.0
lockhart,267,45143167,63765422,220,0.8239700374531835
lockharts,4,451431676,637654224,4,1.0
locking,49,4514353,6376385,0,0.0
lockjaw,14,4514418,6376641,0,0.0
locks,96,45146,63764,21,0.21875
locksley,5,45146428,63764612,5,1.0
locksmith,2,451465373,637648325,0,0.0
lockstep,2,45146726,63764213,0,0.0
lockup,5,451476,637623,0,0.0
locomotion,7,4515557355,6373832338,2,0.2857142857142857
locomotor,6,451555756,637383232,3,0.5
locus,5,45176,63724,1,0.2
locust,4,451767,637242,0,0.0
locusts,2,4517676,6372424,0,0.0
locution,2,45177355,63722338,0,0.0
lodge,68,45232,63451,31,0.45588235294117646
lodged,31,452322,634514,0,0.0
lodger,12,452326,634512,1,0.08333333333333333
lodges,6,452326,634514,0,0.0
lodging,10,4523353,6345385,0,0.0
lodgings,27,45233536,63453854,0,0.0
loft,32,4527,6352,0,0.0
loftily,16,4527348,6352362,0,0.0
lofty,17,45278,63522,0,0.0
log,146,453,635,9,0.06164383561643835
logbook,5,4531554,6358336,0,0.0
logged,7,453322,635514,0,0.0
loggerheads,2,45332632126,63551251444,0,0.0
loggia,3,453331,635534,0,0.0
logging,2,4533353,6355385,0,0.0
logic,82,45331,63537,1,0.012195121951219513
logical,71,4533114,6353746,0,0.0
logically,34,453311448,635374662,0,0.0
logician,5,45331315,63537348,0,0.0
logistical,5,4533673114,6353423746,0,0.0
logistics,20,453367316,635342374,1,0.05
logjam,2,453415,635648,0,0.0
logo,23,4535,6353,0,0.0
logograms,2,453536156,635352484,2,1.0
logos,5,45356,63534,0,0.0
logs,47,4536,6354,0,0.0
loin,2,4535,6338,0,0.0
loincloth,14,453514573,633876325,0,0.0
loins,12,45356,63384,0,0.0
loire,2,45362,63321,2,1.0
lois,31,4536,6334,7,0.22580645161290322
loiter,4,453726,633212,0,0.0
loitered,2,45372622,63321214,0,0.0
loiterers,7,453726266,633212124,0,0.0
loitering,8,453726353,633212385,0,0.0
lola,2,4541,6364,1,0.5
loll,3,4544,6366,0,0.0
lolled,9,454422,636614,0,0.0
lolling,21,4544353,6366385,0,0.0
lollipop,4,45443656,63663333,1,0.25
lolloping,3,454456353,636633385,0,0.0
lombard,3,4551162,6388424,3,1.0
lombroso,6,45516565,63882343,6,1.0
london,800,455255,638438,782,0.9775
londoners,11,455255266,638438124,11,1.0
lone,48,4552,6381,11,0.22916666666666666
lonelier,2,45524326,63816312,0,0.0
loneliness,19,4552435266,6381638144,0,0.0
lonely,155,455248,638162,0,0.0
loner,6,45526,63812,0,0.0
lonesome,3,45526552,63814381,0,0.0
long,5704,4553,6385,25,0.00438288920056101
longbottom,133,4553157755,6385832238,102,0.7669172932330827
longbottoms,4,45531577556,63858322384,4,1.0
longbow,4,4553158,6385831,0,0.0
longed,63,455322,638514,0,0.0
longer,889,455326,638512,0,0.0
longest,42,4553267,6385142,0,0.0
longevity,3,455327378,638518322,0,0.0
longexplanation,2,455328641517355,638517364842338,0,0.0
longfingered,2,455323532622,638553851214,0,0.0
longhorn,5,45533565,63855328,5,1.0
longing,84,4553353,6385385,0,0.0
longingly,39,455335348,638538562,0,0.0
longings,2,45533536,63853854,0,0.0
longish,3,4553363,6385345,0,0.0
longitudinal,2,455337723514,638532243846,0,0.0
longs,2,45536,63854,0,0.0
longstanding,3,455367152353,638542484385,0,0.0
longtime,2,45537352,63852381,0,0.0
lonsdale,2,45562142,63844461,2,1.0
loo,12,455,633,0,0.0
look,7089,4554,6336,401,0.056566511496685006
lookatem,2,45541725,63364218,0,0.0
looked,6808,455422,633614,3,0.00044065804935370154
looker,2,455426,633612,0,0.0
lookin,52,455435,633638,0,0.0
looking,4915,4554353,6336385,10,0.002034587995930824
lookingat,2,455435317,633638542,0,0.0
lookinng,2,45543553,63363885,0,0.0
lookit,2,455437,633632,0,0.0
lookout,57,4554577,6336322,0,0.0
lookouts,11,45545776,63363224,0,0.0
looks,1004,45546,63364,17,0.01693227091633466
looly,24,45548,63362,19,0.7916666666666666
loom,23,4555,6338,0,0.0
loomed,84,455522,633814,0,0.0
looming,73,4555353,6338385,0,0.0
looms,5,45556,63384,0,0.0
loon,11,4555,6338,0,0.0
looney,4,455528,633812,0,0.0
loonie,3,455532,633831,0,0.0
loonies,8,4555326,6338314,0,0.0
loons,3,45556,63384,0,0.0
loony,32,45558,63382,18,0.5625
looooony,2,45555558,63333382,2,1.0
loop,42,4556,6333,0,0.0
looped,18,455622,633314,0,0.0
loophole,8,45563542,63335361,0,0.0
loopholes,2,455635426,633353614,0,0.0
looping,13,4556353,6333385,0,0.0
loops,11,45566,63334,0,0.0
loopy,11,45568,63332,0,0.0
loos,2,4556,6334,0,0.0
loose,411,45562,63341,0,0.0
loosed,19,455622,633414,0,0.0
loosely,24,4556248,6334162,1,0.041666666666666664
loosen,21,455625,633418,0,0.0
loosened,49,45562522,63341814,0,0.0
loosening,29,455625353,633418385,1,0.034482758620689655
looser,2,455626,633412,0,0.0
loosing,4,4556353,6334385,0,0.0
loot,3,4557,6332,0,0.0
looted,11,455722,633214,0,0.0
looters,5,4557266,6332124,0,0.0
looting,6,4557353,6332385,0,0.0
lop,3,456,633,0,0.0
lope,8,4562,6331,0,0.0
loped,15,45622,63314,0,0.0
loping,8,456353,633385,0,0.0
lopped,4,456622,633314,0,0.0
lopsided,56,45663222,63343414,0,0.0
lopsidedly,5,4566322248,6334341462,0,0.0
loquacious,2,4567113576,6312473324,0,0.0
lor,5,456,632,0,0.0
lord,4158,4562,6324,2358,0.5670995670995671
lording,2,4562353,6324385,0,0.0
lordling,9,45624353,63246385,0,0.0
lordlings,6,456243536,632463854,0,0.0
lordly,8,456248,632462,0,0.0
lords,155,45626,63244,5,0.03225806451612903
lordship,14,45626336,63244533,9,0.6428571428571429
lore,12,4562,6321,0,0.0
lorenzetti,6,4562582773,6321871223,3,0.5
lorenzo,13,4562585,6321873,13,1.0
lori,3,4563,6323,2,0.6666666666666666
lorkins,3,4564356,6326384,0,0.0
lorna,37,45651,63284,36,0.972972972972973
lorraine,4,45661352,63224381,4,1.0
lorries,3,4566326,6322314,0,0.0
lorry,3,45668,63222,0,0.0
lortel,2,456724,632216,2,1.0
los,10,456,634,8,0.8
lose,482,4562,6341,4,0.008298755186721992
losehim,2,4562335,6341538,0,0.0
loser,42,45626,63412,2,0.047619047619047616
losers,26,456266,634124,6,0.23076923076923078
loses,25,45626,63414,1,0.04
losimo,21,456355,634383,19,0.9047619047619048
losimon,72,4563555,6343838,70,0.9722222222222222
losimons,42,45635556,63438384,41,0.9761904761904762
losing,261,456353,634385,1,0.0038314176245210726
loss,272,4566,6344,2,0.007352941176470588
losses,39,456626,634414,0,0.0
lost,1461,4567,6342,5,0.0034223134839151265
lot,1877,457,632,5,0.002663825253063399
lothman,2,4573515,6325848,2,1.0
lotion,14,457355,632338,0,0.0
lots,221,4576,6324,3,0.013574660633484163
lotta,5,45771,63224,0,0.0
lottery,21,4577268,6322122,2,0.09523809523809523
lotus,25,45776,63224,15,0.6
lou,6,457,632,3,0.5
loud,552,4572,6324,1,0.0018115942028985507
loudbang,2,45721153,63248485,0,0.0
loudclunk,2,457214754,632476286,0,0.0
loudcrack,19,457216114,632472476,0,0.0
louder,195,457226,632412,3,0.015384615384615385
loudest,18,4572267,6324142,0,0.0
loudly,617,457248,632462,0,0.0
loudspeaker,2,45726621426,63244314612,0,0.0
loudthunk,2,457273754,632425286,0,0.0
louis,5,45736,63234,5,1.0
louise,5,457362,632341,5,1.0
louisiana,3,457363151,632343484,3,1.0
loulou,11,457457,632632,9,0.8181818181818182
lound,4,45752,63284,0,0.0
lounge,63,457532,632851,17,0.2698412698412698
lounged,11,4575322,6328514,0,0.0
lounger,3,4575326,6328512,0,0.0
loungers,4,45753266,63285124,0,0.0
lounges,4,4575326,6328514,0,0.0
lounging,17,45753353,63285385,0,0.0
lousy,51,45768,63242,0,0.0
lout,23,4577,6322,0,0.0
loutish,2,4577363,6322345,0,0.0
loutishness,2,45773635266,63223458144,0,0.0
louts,8,45776,63224,0,0.0
lovable,11,4571142,6384861,0,0.0
lovage,2,457132,638451,0,0.0
love,2151,4572,6381,63,0.029288702928870293
loveably,2,45721148,63814862,0,0.0
loved,370,45722,63814,5,0.013513513513513514
lovegood,102,45723552,63815334,76,0.7450980392156863
lovegoods,5,457235526,638153344,5,1.0
loveliest,2,457243267,638163142,0,0.0
lovely,282,457248,638162,2,0.0070921985815602835
lovemaking,8,4572514353,6381846385,0,0.0
lover,148,45726,63812,7,0.0472972972972973
lovers,56,457266,638124,1,0.017857142857142856
loves,138,45726,63814,0,0.0
lovesick,5,45726314,63814376,0,0.0
loveto,2,457275,638123,0,0.0
lovie,20,45732,63831,1,0.05
loving,83,457353,638385,2,0.024096385542168676
lovingly,10,45735348,63838562,0,0.0
low,972,458,631,5,0.0051440329218107
lowe,14,4582,6311,14,1.0
lowell,11,458244,631166,10,0.9090909090909091
lowenstein,4,4582567235,6311842138,0,0.0
lower,504,45826,63112,13,0.025793650793650792
lowered,377,4582622,6311214,0,0.0
lowering,76,45826353,63112385,1,0.013157894736842105
lowers,15,458266,631124,0,0.0
lowest,35,458267,631142,0,0.0
lowland,2,4584152,6316484,0,0.0
lowlander,2,458415226,631648412,0,0.0
lowlands,4,45841526,63164844,0,0.0
lowliest,3,45843267,63163142,0,0.0
lowly,34,45848,63162,0,0.0
lows,3,4586,6314,2,0.6666666666666666
lowther,6,4587326,6312512,6,1.0
lox,2,458,637,0,0.0
loxias,2,458316,637344,2,1.0
loyal,119,45814,63246,0,0.0
loyalist,3,45814367,63246342,0,0.0
loyalists,4,458143676,632463424,0,0.0
loyally,13,4581448,6324662,0,0.0
loyalties,20,458147326,632462314,0,0.0
loyalty,99,4581478,6324622,0,0.0
lris,2,4636,6234,0,0.0
lrish,4,46363,62345,0,0.0
lrwin,2,46835,62138,0,0.0
ls,31,46,64,0,0.0
lsaac,4,46111,64447,0,0.0
lsabella,4,46112441,64481664,0,0.0
lsland,4,464152,646484,0,0.0
lsn,3,465,648,0,0.0
lt,23,47,62,1,0.043478260869565216
ltalian,10,4714315,6246348,0,0.0
ltd,20,472,624,18,0.9
lu,7,47,62,5,0.7142857142857143
luau,2,4717,6242,0,0.0
lubachik,5,47111334,62847536,3,0.6
luca,10,4711,6274,9,0.9
lucas,38,47116,62744,30,0.7894736842105263
luce,5,4712,6271,3,0.6
lucerne,3,4712652,6271281,2,0.6666666666666666
lucid,9,47132,62734,0,0.0
lucidity,5,47132378,62734322,0,0.0
lucifer,2,4713226,6273512,2,1.0
lucille,14,4713442,6273661,11,0.7857142857142857
lucius,193,471376,627324,161,0.8341968911917098
luck,537,4714,6276,1,0.00186219739292365
lucked,3,471422,627614,0,0.0
luckier,6,4714326,6276312,0,0.0
luckiest,10,47143267,62763142,0,0.0
luckily,33,4714348,6276362,0,0.0
luckless,4,47144266,62766144,0,0.0
lucky,446,47148,62762,32,0.07174887892376682
lucrative,15,471617372,627242381,0,0.0
lucy,117,4718,6272,101,0.8632478632478633
ludicrous,24,472316576,624372324,2,0.08333333333333333
ludicrously,8,47231657648,62437232462,0,0.0
ludo,72,4725,6243,53,0.7361111111111112
lug,10,473,625,0,0.0
luggage,128,4733132,6255451,1,0.0078125
lugged,8,473322,625514,0,0.0
lugging,27,4733353,6255385,0,0.0
lugubrious,4,4737163576,6252823324,1,0.25
lugwin,3,473835,625138,3,1.0
luigi,62,47333,62353,60,0.967741935483871
luisa,13,47361,62344,11,0.8461538461538461
luke,11,4742,6261,8,0.7272727272727273
lukewarm,10,47428165,62611428,0,0.0
lula,478,4741,6264,438,0.9163179916317992
lulamyinspirationforeva,5,47415835663617355256271,62648238433242338532184,0,0.0
lull,17,4744,6266,0,0.0
lullaby,3,4744118,6266482,0,0.0
lulled,7,474422,626614,0,0.0
lulling,2,4744353,6266385,0,0.0
lum,2,475,628,0,0.0
lumbago,4,4751135,6288453,0,0.0
lumber,14,475126,628812,0,0.0
lumbered,32,47512622,62881214,0,0.0
lumbering,30,475126353,628812385,0,0.0
luminescent,3,47535261257,62838147182,0,0.0
luminosity,3,4753556378,6283834322,0,0.0
luminous,61,47535576,62838324,0,0.0
lumos,28,47556,62834,6,0.21428571428571427
lump,107,4756,6283,0,0.0
lumped,5,475622,628314,0,0.0
lumpiness,2,475635266,628338144,0,0.0
lumping,4,4756353,6283385,0,0.0
lumps,53,47566,62834,0,0.0
lumpton,43,4756755,6283238,41,0.9534883720930233
lumpy,61,47568,62832,0,0.0
luna,547,4751,6284,470,0.8592321755027422
lunacy,8,475118,628472,0,0.0
lunar,11,47516,62842,0,0.0
lunascope,3,475161562,628447331,0,0.0
lunatic,63,4751731,6284237,0,0.0
lunatics,7,47517316,62842374,0,0.0
lunch,469,47513,62875,1,0.0021321961620469083
lunched,4,4751322,6287514,0,0.0
luncheon,27,47513255,62875138,0,0.0
lunches,6,4751326,6287514,0,0.0
lunching,3,47513353,62875385,0,0.0
lunchtime,48,475137352,628752381,0,0.0
lunchtimes,4,4751373526,6287523814,0,0.0
lung,10,4753,6285,2,0.2
lunge,25,47532,62851,0,0.0
lunged,67,475322,628514,0,0.0
lunges,2,475326,628514,0,0.0
lungful,3,4753274,6285526,0,0.0
lungfulls,2,475327446,628552664,0,0.0
lungfuls,5,47532746,62855264,0,0.0
lunging,17,4753353,6285385,0,0.0
lungs,115,47536,62854,1,0.008695652173913044
lupin,1037,47635,62338,858,0.8273866923818708
lura,74,4761,6224,73,0.9864864864864865
lurch,42,47613,62275,0,0.0
lurched,103,4761322,6227514,0,0.0
lurches,2,4761326,6227514,0,0.0
lurching,25,47613353,62275385,0,0.0
lure,50,4762,6221,0,0.0
lured,27,47622,62214,0,0.0
lures,5,47626,62214,0,0.0
lurgy,4,47638,62252,4,1.0
lurid,21,47632,62234,0,0.0
luridly,2,4763248,6223462,0,0.0
luring,10,476353,622385,0,0.0
lurk,12,4764,6226,0,0.0
lurked,39,476422,622614,0,0.0
lurker,3,476426,622612,0,0.0
lurking,100,4764353,6226385,0,0.0
lurks,3,47646,62264,0,0.0
lurves,2,476726,622814,0,0.0
luscious,2,47613576,62473324,0,0.0
lush,14,4763,6245,0,0.0
lust,37,4767,6242,0,0.0
lusted,2,476722,624214,0,0.0
lusting,2,4767353,6242385,0,0.0
lustre,2,476762,624221,0,0.0
lustrous,5,47676576,62422324,0,0.0
lusts,3,47676,62424,1,0.3333333333333333
lute,3,4772,6221,0,0.0
lutez,80,47728,62217,80,1.0
